likes,retweets,pos_score,neg_score,vn_lable,n_lable,nu_lable,p_lable,vp_lable,followers,followings,verifies,ratings
4,1,0.52,0.48,0.21,0.16,0.19,0.22,0.21,254614,726,0.035,0
393,173,0.39,0.61,0.29,0.26,0.25,0.16,0.05,6949,1528,0.062,0
33,10,0.39,0.61,0.29,0.27,0.19,0.2,0.05,10894,1797,0.065,0
14,3,0.35,0.65,0.36,0.26,0.22,0.08,0.07,628085,2157,0.099,0
1,0,0.38,0.62,0.29,0.27,0.21,0.17,0.06,2245,1015,0.04,0
3507,614,0.46,0.54,0.25,0.25,0.16,0.14,0.2,14274,1453,0.041,0
568,122,0.34,0.66,0.34,0.24,0.24,0.13,0.05,12275,3351,0.042,0
2,0,0.68,0.32,0.11,0.0,0.11,0.44,0.33,5954,1431,0.125,0
0,0,0.68,0.32,0.1,0.07,0.17,0.17,0.5,273,350,0.0,0
2,0,0.27,0.73,0.56,0.21,0.08,0.1,0.05,32205,3925,0.024,1
1302,1094,0.26,0.74,0.5,0.28,0.08,0.09,0.05,11529,777,0.01,0
98,34,0.27,0.73,0.49,0.25,0.14,0.1,0.02,18390,955,0.013,0
1,2,0.47,0.53,0.24,0.21,0.19,0.24,0.13,11437,7141,0.033,0
3,1,0.43,0.57,0.25,0.21,0.2,0.29,0.05,6872,2453,0.057,0
280,45,0.49,0.51,0.27,0.14,0.22,0.14,0.24,5913,890,0.02,0
3,1,0.38,0.62,0.38,0.26,0.12,0.16,0.07,50102,5258,0.063,0
24,13,0.37,0.63,0.24,0.39,0.19,0.12,0.06,524644,1792,0.061,1
7,1,0.29,0.71,0.37,0.53,0.05,0.03,0.03,11740,2422,0.062,1
11,3,0.54,0.46,0.08,0.17,0.37,0.25,0.14,14390,1624,0.01,0
770,196,0.26,0.74,0.53,0.22,0.17,0.06,0.02,412098,1806,0.065,0
4,1,0.43,0.57,0.29,0.22,0.21,0.15,0.13,42098,1773,0.039,0
4,1,0.47,0.53,0.26,0.19,0.18,0.18,0.17,5058,2209,0.029,0
221,90,0.52,0.48,0.24,0.19,0.14,0.17,0.27,35851,2032,0.067,0
1155,305,0.4,0.6,0.32,0.24,0.19,0.09,0.16,66184,1797,0.093,0
642,104,0.45,0.55,0.26,0.25,0.15,0.16,0.18,43144,1417,0.054,1
3024,347,0.37,0.63,0.39,0.24,0.17,0.18,0.03,747928,1322,0.027,0
8,1,0.26,0.74,0.53,0.19,0.17,0.08,0.03,19840,1353,0.034,0
1,0,0.44,0.56,0.09,0.49,0.11,0.23,0.08,2643,1025,0.023,1
5,1,0.42,0.58,0.23,0.31,0.2,0.19,0.07,39343,1431,0.082,0
109,17,0.51,0.49,0.17,0.23,0.22,0.11,0.27,9462,3198,0.022,0
43,5,0.39,0.61,0.3,0.29,0.17,0.14,0.1,37273,1266,0.068,0
245,39,0.47,0.53,0.27,0.2,0.18,0.12,0.23,392701,7080,0.12,0
43,14,0.33,0.67,0.41,0.25,0.19,0.09,0.06,35188,1480,0.038,0
90,8,0.39,0.61,0.27,0.26,0.27,0.1,0.1,54774,425,0.028,0
5,4,0.46,0.54,0.22,0.22,0.22,0.17,0.16,21875,1349,0.081,0
1353,347,0.42,0.58,0.22,0.27,0.25,0.14,0.12,1276,816,0.023,0
1,0,0.54,0.46,0.28,0.2,0.05,0.11,0.37,126852,5636,0.046,0
1,0,0.43,0.57,0.25,0.28,0.19,0.18,0.11,7883,1822,0.078,0
1,0,0.37,0.63,0.34,0.23,0.19,0.16,0.07,5195,783,0.03,0
2,0,0.63,0.37,0.09,0.15,0.19,0.22,0.35,5590,850,0.043,1
31,24,0.32,0.68,0.37,0.31,0.2,0.08,0.04,114795,2046,0.06,0
1687,319,0.36,0.64,0.33,0.28,0.21,0.09,0.09,76630,919,0.02,0
537,207,0.57,0.43,0.16,0.13,0.24,0.15,0.31,70448,3797,0.062,0
2,1,0.61,0.39,0.12,0.12,0.12,0.34,0.31,6159,1759,0.044,0
1,1,0.14,0.86,0.83,0.09,0.04,0.0,0.03,1123,1891,0.0,0
748,467,0.39,0.61,0.3,0.28,0.14,0.14,0.13,22291,984,0.032,0
3,1,0.38,0.62,0.27,0.4,0.14,0.1,0.09,2044,1353,0.027,0
24,3,0.3,0.7,0.44,0.23,0.2,0.09,0.05,38195,466,0.034,0
0,0,0.33,0.67,0.56,0.22,0.0,0.11,0.11,3619,196,0.0,0
3,1,0.49,0.51,0.26,0.19,0.16,0.17,0.23,280762,7517,0.032,0
1,1,0.44,0.56,0.3,0.14,0.14,0.35,0.06,41145,5472,0.106,0
2,1,0.3,0.7,0.46,0.19,0.26,0.06,0.03,156316,2731,0.104,0
42,13,0.33,0.67,0.34,0.35,0.17,0.06,0.06,9770,1362,0.033,0
4,1,0.48,0.52,0.33,0.11,0.19,0.19,0.19,2181,961,0.033,0
2,1,0.35,0.65,0.32,0.23,0.3,0.1,0.04,12132,1818,0.118,0
2,1,0.29,0.71,0.53,0.14,0.14,0.13,0.06,14056,1112,0.051,0
1675,237,0.44,0.56,0.23,0.28,0.2,0.12,0.17,10403,895,0.046,0
69,16,0.52,0.48,0.2,0.22,0.19,0.13,0.26,18845,2071,0.042,0
11,1,0.26,0.74,0.53,0.21,0.17,0.09,0.0,5291,1358,0.037,0
181,54,0.34,0.66,0.43,0.24,0.15,0.1,0.08,103891,1537,0.068,0
23,3,0.51,0.49,0.19,0.18,0.22,0.2,0.2,45848,1698,0.088,0
1,0,0.5,0.5,0.24,0.25,0.14,0.08,0.29,2173,1493,0.022,0
115,23,0.42,0.58,0.25,0.16,0.44,0.09,0.06,1623,730,0.013,0
490,118,0.45,0.55,0.24,0.25,0.17,0.15,0.2,45309,1099,0.033,0
1912,289,0.47,0.53,0.19,0.21,0.28,0.2,0.12,125614,1025,0.011,1
5,1,0.41,0.59,0.26,0.26,0.23,0.18,0.08,2129,1034,0.011,0
492,100,0.5,0.5,0.15,0.26,0.24,0.17,0.18,13180,1175,0.06,0
9,3,0.34,0.66,0.37,0.23,0.23,0.1,0.08,26994,1705,0.034,0
35,15,0.42,0.58,0.23,0.3,0.24,0.12,0.12,20265,1073,0.064,0
2,0,0.38,0.62,0.37,0.21,0.19,0.19,0.04,2200,1214,0.016,0
1388,100,0.29,0.71,0.48,0.25,0.17,0.04,0.07,65165,1414,0.029,0
51,11,0.34,0.66,0.41,0.24,0.18,0.1,0.06,3522,2107,0.011,0
2,1,0.44,0.56,0.18,0.38,0.14,0.12,0.18,20820,1457,0.048,0
97,24,0.35,0.65,0.33,0.29,0.2,0.07,0.11,32050,884,0.073,0
2,1,0.67,0.33,0.05,0.17,0.19,0.22,0.37,61541,6570,0.107,0
20,4,0.49,0.51,0.26,0.14,0.26,0.19,0.15,9642,1097,0.038,0
7,2,0.38,0.62,0.28,0.34,0.2,0.09,0.1,10496,2034,0.043,0
60,7,0.48,0.52,0.26,0.2,0.09,0.23,0.21,3851,1809,0.067,0
154,37,0.45,0.55,0.27,0.19,0.21,0.19,0.13,57587,472,0.058,0
30,7,0.4,0.6,0.34,0.19,0.21,0.13,0.12,68710,1209,0.139,0
14,11,0.29,0.71,0.47,0.24,0.16,0.08,0.04,6101,1332,0.027,0
29,10,0.4,0.6,0.23,0.32,0.27,0.13,0.05,6392,2687,0.061,0
18,5,0.28,0.72,0.51,0.16,0.19,0.12,0.03,7231,1024,0.0,0
381,48,0.25,0.75,0.5,0.26,0.17,0.05,0.02,98178,1866,0.033,0
77,5,0.41,0.59,0.31,0.2,0.23,0.15,0.11,16472,1027,0.081,0
9,3,0.42,0.58,0.27,0.29,0.23,0.1,0.11,13757,1630,0.032,0
287,58,0.37,0.63,0.34,0.2,0.33,0.08,0.05,9635,1099,0.1,0
30,6,0.5,0.5,0.12,0.29,0.28,0.18,0.13,19381,4395,0.054,0
3019,1337,0.3,0.7,0.42,0.3,0.13,0.11,0.04,10684,1344,0.042,0
595,155,0.42,0.58,0.28,0.23,0.2,0.15,0.13,41922,2124,0.027,0
1,0,0.29,0.71,0.51,0.18,0.15,0.1,0.05,1597,982,0.011,0
82,19,0.44,0.56,0.24,0.23,0.22,0.19,0.13,650390,916,0.099,0
2073,545,0.4,0.6,0.29,0.25,0.26,0.12,0.09,73050,1426,0.039,0
14,8,0.36,0.64,0.34,0.27,0.21,0.09,0.09,20484,3168,0.02,0
23,1,0.43,0.57,0.26,0.28,0.2,0.18,0.09,58519,2085,0.056,0
20,6,0.46,0.54,0.23,0.23,0.27,0.13,0.15,16618,4944,0.076,0
114,22,0.46,0.54,0.23,0.22,0.26,0.17,0.12,26374,2241,0.042,0
29,8,0.38,0.62,0.31,0.33,0.16,0.1,0.11,2168,1269,0.011,0
33,12,0.42,0.58,0.28,0.26,0.21,0.12,0.14,34847,2365,0.044,0
33,8,0.31,0.69,0.45,0.25,0.14,0.08,0.09,23859,3367,0.041,0
2,1,0.48,0.52,0.16,0.32,0.19,0.16,0.17,18938,3832,0.035,0
1,0,0.39,0.61,0.37,0.29,0.1,0.1,0.13,7815,3144,0.031,0
88,33,0.32,0.68,0.39,0.27,0.18,0.14,0.02,22871,3283,0.095,0
3,0,0.37,0.63,0.35,0.24,0.2,0.1,0.1,2282,867,0.037,0
662,174,0.48,0.52,0.23,0.17,0.27,0.19,0.14,72823,1282,0.03,0
1791,463,0.44,0.56,0.22,0.27,0.28,0.15,0.09,3456,1412,0.017,0
2,0,0.51,0.49,0.17,0.19,0.27,0.14,0.22,1714,1197,0.016,0
54,20,0.66,0.34,0.01,0.1,0.2,0.52,0.17,6277,2462,0.013,0
9,2,0.4,0.6,0.25,0.39,0.08,0.08,0.2,4775,1978,0.021,0
269,85,0.25,0.75,0.51,0.25,0.16,0.06,0.02,213183,3317,0.094,0
70,22,0.27,0.73,0.46,0.3,0.17,0.06,0.01,5919,1236,0.018,0
8,1,0.61,0.39,0.12,0.14,0.19,0.2,0.35,7789,1686,0.044,0
50,6,0.3,0.7,0.43,0.25,0.2,0.08,0.04,63820,1911,0.064,0
2,0,0.33,0.67,0.32,0.32,0.26,0.06,0.04,22844,941,0.023,0
29,12,0.37,0.63,0.34,0.28,0.18,0.12,0.09,26190,1137,0.065,0
214,40,0.45,0.55,0.22,0.25,0.21,0.17,0.14,11301,2861,0.07,0
1,0,0.25,0.75,0.44,0.36,0.1,0.08,0.02,2180,787,0.0,1
8,2,0.45,0.55,0.25,0.21,0.22,0.17,0.14,4416,1679,0.043,0
2,0,0.46,0.54,0.27,0.22,0.13,0.23,0.15,3921,1298,0.049,1
655,114,0.42,0.58,0.29,0.26,0.17,0.14,0.14,20102,3410,0.013,0
0,0,0.13,0.87,0.86,0.05,0.01,0.06,0.01,2533,3050,0.0,0
104,5,0.39,0.61,0.33,0.18,0.23,0.19,0.06,8491,1038,0.01,0
148,8,0.33,0.67,0.48,0.16,0.17,0.11,0.1,127282,1490,0.082,1
1,0,0.43,0.57,0.21,0.25,0.33,0.17,0.04,4399,658,0.0,0
16,8,0.47,0.53,0.26,0.16,0.18,0.26,0.14,34742,1613,0.082,1
30,3,0.56,0.44,0.19,0.13,0.19,0.17,0.33,102866,1390,0.088,0
2,0,0.38,0.62,0.4,0.2,0.17,0.06,0.16,19884,1319,0.025,0
264,91,0.39,0.61,0.26,0.32,0.2,0.12,0.1,13698,2313,0.062,0
95,11,0.46,0.54,0.3,0.18,0.14,0.14,0.24,22436,2065,0.04,0
2,1,0.46,0.54,0.31,0.12,0.25,0.12,0.19,5846,2219,0.0,0
171,22,0.37,0.63,0.33,0.25,0.23,0.11,0.08,30162,1673,0.08,0
8,1,0.36,0.64,0.26,0.37,0.21,0.1,0.06,71346,2720,0.121,0
2,0,0.48,0.52,0.18,0.24,0.24,0.21,0.13,24753,1023,0.048,0
270,66,0.36,0.64,0.35,0.24,0.2,0.16,0.05,6687,2421,0.031,0
128,46,0.35,0.65,0.29,0.38,0.18,0.08,0.07,36107,1017,0.041,0
27,8,0.39,0.61,0.24,0.4,0.12,0.19,0.05,3539,1047,0.017,0
5,1,0.38,0.62,0.2,0.48,0.08,0.22,0.03,6614,1124,0.022,0
22,12,0.42,0.58,0.22,0.46,0.03,0.19,0.1,1444,586,0.016,0
952,96,0.49,0.51,0.13,0.28,0.26,0.21,0.11,23570,1804,0.047,0
6,0,0.34,0.66,0.33,0.37,0.15,0.14,0.01,3059,1506,0.0,0
2,0,0.37,0.63,0.29,0.33,0.23,0.07,0.08,1828,681,0.0,0
229,33,0.33,0.67,0.42,0.22,0.19,0.09,0.08,50835,1646,0.04,0
2,0,0.33,0.67,0.45,0.18,0.14,0.15,0.08,14773,3584,0.041,0
7,1,0.58,0.42,0.17,0.1,0.26,0.17,0.31,60406,1208,0.244,0
3,1,0.45,0.55,0.17,0.3,0.3,0.08,0.16,16933,1463,0.016,0
58,24,0.32,0.68,0.44,0.23,0.19,0.08,0.06,22525,1466,0.026,0
45,10,0.5,0.5,0.18,0.22,0.29,0.08,0.22,47716,1202,0.067,0
292,70,0.35,0.65,0.38,0.29,0.12,0.09,0.11,25580,2556,0.075,0
3,1,0.54,0.46,0.12,0.26,0.16,0.24,0.22,13194,4401,0.176,0
72,22,0.29,0.71,0.45,0.25,0.2,0.06,0.03,7962,2868,0.068,0
240,79,0.41,0.59,0.26,0.34,0.17,0.1,0.12,12863,1461,0.04,0
73,9,0.4,0.6,0.29,0.29,0.15,0.11,0.15,5604,1757,0.051,1
8,4,0.47,0.53,0.16,0.24,0.31,0.16,0.14,7119,1121,0.025,0
2,0,0.34,0.66,0.44,0.14,0.27,0.09,0.06,2626,1198,0.025,0
14,4,0.51,0.49,0.14,0.21,0.18,0.39,0.07,2399,1298,0.0,0
1071,287,0.38,0.62,0.34,0.23,0.18,0.16,0.09,584423,1345,0.048,0
1,0,0.32,0.68,0.4,0.26,0.21,0.07,0.05,177391,5750,0.132,0
2,0,0.54,0.46,0.09,0.24,0.28,0.19,0.21,3537,1109,0.021,0
36,6,0.63,0.37,0.13,0.12,0.16,0.23,0.37,57411,1453,0.024,1
22,6,0.55,0.45,0.15,0.19,0.17,0.28,0.2,31729,1353,0.021,0
96,14,0.45,0.55,0.22,0.26,0.24,0.16,0.12,421899,1319,0.096,0
100,36,0.44,0.56,0.25,0.25,0.2,0.18,0.12,2617,1355,0.013,0
29,8,0.41,0.59,0.32,0.23,0.16,0.11,0.18,15852,3419,0.033,0
7,1,0.34,0.66,0.36,0.29,0.15,0.15,0.06,62978,1206,0.048,0
88,20,0.45,0.55,0.21,0.24,0.27,0.14,0.13,106023,1505,0.045,0
2,0,0.53,0.47,0.18,0.15,0.23,0.24,0.19,3521,1096,0.049,0
1,0,0.42,0.58,0.27,0.25,0.13,0.26,0.09,1945,802,0.0,1
14,2,0.51,0.49,0.14,0.26,0.21,0.21,0.17,12247,1875,0.097,0
170,57,0.27,0.73,0.47,0.26,0.22,0.04,0.02,78716,2456,0.104,0
1,0,0.24,0.76,0.43,0.43,0.14,0.0,0.0,1249,304,0.0,0
645,189,0.4,0.6,0.25,0.35,0.18,0.1,0.12,56606,2374,0.064,0
2,0,0.56,0.44,0.13,0.19,0.32,0.12,0.24,2076,925,0.0,0
0,0,0.12,0.88,0.83,0.11,0.06,0.0,0.0,339,546,0.0,0
228,247,0.46,0.54,0.28,0.17,0.22,0.17,0.16,50774,2602,0.095,0
5,1,0.29,0.71,0.48,0.18,0.21,0.13,0.01,21637,1894,0.104,0
6,1,0.48,0.52,0.19,0.22,0.22,0.21,0.16,2340,914,0.022,0
9,2,0.42,0.58,0.28,0.21,0.24,0.12,0.15,3563,2022,0.04,1
5,1,0.51,0.49,0.24,0.1,0.23,0.23,0.21,122520,1486,0.048,0
4,2,0.42,0.58,0.21,0.37,0.15,0.17,0.1,5379,1351,0.065,0
733,283,0.31,0.69,0.37,0.33,0.2,0.06,0.04,76782,3540,0.056,0
2209,497,0.33,0.67,0.37,0.29,0.2,0.07,0.08,157553,1786,0.051,0
31,3,0.41,0.59,0.27,0.31,0.13,0.17,0.12,6458,2088,0.039,0
195,21,0.32,0.68,0.33,0.39,0.13,0.11,0.04,327424,1174,0.067,0
1,0,0.41,0.59,0.28,0.22,0.24,0.18,0.08,6299,1182,0.084,0
146,85,0.33,0.67,0.36,0.32,0.18,0.08,0.05,67831,1752,0.064,0
312,72,0.31,0.69,0.42,0.25,0.18,0.08,0.06,106369,2108,0.074,0
3,1,0.5,0.5,0.06,0.31,0.29,0.26,0.08,5273,2926,0.031,0
5,2,0.36,0.64,0.3,0.27,0.27,0.14,0.02,4720,1862,0.069,0
2,1,0.46,0.54,0.17,0.3,0.25,0.15,0.14,2432,1133,0.014,0
0,0,0.48,0.52,0.3,0.12,0.11,0.39,0.09,1040,571,0.0,0
984,123,0.39,0.61,0.3,0.23,0.27,0.17,0.03,138759,709,0.048,0
476,119,0.31,0.69,0.42,0.29,0.17,0.06,0.06,182338,2470,0.054,0
205,44,0.31,0.69,0.47,0.19,0.22,0.04,0.07,14295,1148,0.034,0
120,13,0.43,0.57,0.32,0.19,0.19,0.14,0.15,190941,1322,0.023,0
7,3,0.32,0.68,0.22,0.47,0.18,0.11,0.02,35174,2416,0.05,0
5,1,0.46,0.54,0.15,0.27,0.34,0.15,0.09,11535,2477,0.042,0
60,15,0.44,0.56,0.21,0.31,0.16,0.2,0.11,32784,2444,0.054,0
401,105,0.25,0.75,0.49,0.28,0.16,0.06,0.01,70633,1109,0.076,0
44,3,0.51,0.49,0.21,0.22,0.11,0.28,0.18,339904,1277,0.244,0
157,34,0.52,0.48,0.12,0.21,0.31,0.24,0.13,17743,1833,0.056,0
374,61,0.56,0.44,0.12,0.18,0.23,0.27,0.2,187340,1258,0.092,0
38,8,0.48,0.52,0.19,0.2,0.29,0.23,0.1,719598,1029,0.086,0
75,47,0.19,0.81,0.67,0.14,0.13,0.04,0.01,6381,1883,0.022,0
984,133,0.38,0.62,0.27,0.3,0.19,0.19,0.05,4623,1311,0.036,0
3,0,0.6,0.4,0.13,0.17,0.18,0.22,0.31,3698,1012,0.024,0
92,16,0.33,0.67,0.3,0.42,0.14,0.11,0.03,4481,1078,0.053,0
548,426,0.35,0.65,0.35,0.28,0.17,0.13,0.07,27908,1510,0.042,0
3,0,0.36,0.64,0.34,0.35,0.15,0.1,0.07,3365,1031,0.026,0
1,0,0.34,0.66,0.39,0.2,0.18,0.19,0.04,1203,718,0.0,1
5,3,0.47,0.53,0.21,0.26,0.18,0.21,0.14,152324,2324,0.042,0
616,176,0.38,0.62,0.24,0.37,0.26,0.07,0.06,50706,2530,0.029,0
0,0,0.56,0.44,0.13,0.15,0.27,0.25,0.2,3141,1727,0.033,0
993,269,0.57,0.43,0.15,0.23,0.13,0.14,0.34,31272,1333,0.012,0
542,136,0.38,0.62,0.41,0.2,0.12,0.1,0.16,5536,998,0.026,0
66,22,0.36,0.64,0.26,0.37,0.27,0.06,0.05,93603,2246,0.069,0
1,0,0.36,0.64,0.25,0.44,0.18,0.09,0.04,2343,1120,0.036,0
43,2,0.33,0.67,0.38,0.24,0.24,0.12,0.03,4513,1297,0.063,0
12,4,0.27,0.73,0.44,0.18,0.34,0.01,0.02,1199,592,0.0,0
1,1,0.38,0.62,0.13,0.53,0.2,0.07,0.07,2332,2357,0.067,0
5,1,0.41,0.59,0.22,0.28,0.25,0.16,0.09,20272,1332,0.154,0
4,0,0.33,0.67,0.38,0.31,0.14,0.15,0.02,66813,8078,0.091,0
11,3,0.2,0.8,0.63,0.19,0.14,0.04,0.01,2726,1122,0.01,0
5,1,0.4,0.6,0.34,0.2,0.19,0.14,0.13,2581,1380,0.013,1
0,0,0.67,0.33,0.0,0.0,0.5,0.5,0.0,1321,3628,0.0,0
3,0,0.41,0.59,0.25,0.27,0.25,0.18,0.06,2688,1168,0.012,0
11,2,0.4,0.6,0.28,0.28,0.21,0.17,0.07,3680,2026,0.034,0
1756,473,0.47,0.53,0.27,0.2,0.19,0.12,0.21,194440,2040,0.065,0
49,10,0.43,0.57,0.28,0.26,0.17,0.17,0.12,24103,1283,0.065,0
2,0,0.4,0.6,0.32,0.26,0.16,0.09,0.17,2829,1216,0.035,0
26,7,0.56,0.44,0.13,0.18,0.21,0.26,0.22,13246,2309,0.038,0
5,1,0.43,0.57,0.23,0.27,0.24,0.15,0.12,5928,1305,0.021,0
51,6,0.53,0.47,0.12,0.25,0.26,0.15,0.22,33963,1268,0.024,0
71,3,0.23,0.77,0.61,0.21,0.07,0.04,0.07,119488,484,0.074,0
2,1,0.29,0.71,0.42,0.31,0.14,0.1,0.02,2635,970,0.014,0
445,88,0.47,0.53,0.25,0.12,0.28,0.17,0.18,24687,1492,0.062,0
12,2,0.27,0.73,0.44,0.31,0.2,0.04,0.01,96424,1123,0.097,0
2,0,0.42,0.58,0.28,0.19,0.27,0.18,0.09,7434,1655,0.05,0
10,4,0.48,0.52,0.12,0.32,0.28,0.12,0.16,8263,877,0.011,0
593,158,0.46,0.54,0.17,0.27,0.31,0.1,0.15,27847,1153,0.016,0
6,1,0.4,0.6,0.27,0.24,0.26,0.13,0.11,48157,1110,0.022,0
3,0,0.49,0.51,0.15,0.25,0.26,0.24,0.1,4155,777,0.076,0
385,147,0.46,0.54,0.24,0.24,0.18,0.2,0.15,5841,1434,0.0,0
136,32,0.42,0.58,0.32,0.22,0.2,0.14,0.13,47717,1905,0.084,0
300,75,0.38,0.62,0.32,0.27,0.2,0.15,0.07,23959,2145,0.073,1
103,4,0.4,0.6,0.34,0.18,0.21,0.16,0.11,3924,1046,0.032,0
177,17,0.42,0.58,0.25,0.27,0.26,0.13,0.08,455733,2662,0.101,0
5,0,0.25,0.75,0.52,0.25,0.17,0.04,0.02,2984,1073,0.032,0
1,1,0.44,0.56,0.21,0.29,0.22,0.19,0.09,5066,1908,0.035,0
534,52,0.37,0.63,0.34,0.28,0.14,0.13,0.11,201046,2758,0.065,0
688,158,0.62,0.38,0.17,0.05,0.16,0.31,0.3,585668,1162,0.056,0
0,0,0.25,0.75,0.53,0.13,0.29,0.04,0.01,1686,1509,0.017,0
5,1,0.39,0.61,0.24,0.3,0.23,0.18,0.04,1912,1081,0.021,0
174,16,0.2,0.8,0.72,0.11,0.07,0.1,0.01,10608,1575,0.069,0
6,1,0.42,0.58,0.26,0.24,0.26,0.14,0.1,7681,1868,0.049,0
4,1,0.56,0.44,0.11,0.28,0.11,0.25,0.25,1090,638,0.021,0
6,2,0.4,0.6,0.32,0.2,0.25,0.13,0.09,80921,5640,0.047,0
2,0,0.54,0.46,0.16,0.18,0.25,0.17,0.24,1870,1175,0.012,0
7,2,0.43,0.57,0.21,0.25,0.29,0.16,0.08,1890,563,0.028,0
5314,1205,0.47,0.53,0.26,0.23,0.16,0.17,0.18,50152,1856,0.028,0
11,1,0.34,0.66,0.44,0.24,0.09,0.14,0.1,11824,1390,0.05,0
111,33,0.39,0.61,0.31,0.27,0.14,0.22,0.06,111576,1011,0.098,0
96,17,0.4,0.6,0.3,0.27,0.18,0.14,0.11,4364,1265,0.011,0
25,4,0.32,0.68,0.4,0.26,0.19,0.08,0.07,3751,1938,0.043,0
7,2,0.37,0.63,0.24,0.33,0.33,0.08,0.02,9772,2615,0.03,0
157,51,0.24,0.76,0.57,0.25,0.12,0.05,0.02,85632,2835,0.028,0
4,1,0.38,0.62,0.3,0.26,0.19,0.15,0.1,4094,772,0.024,0
219,41,0.39,0.61,0.34,0.21,0.22,0.11,0.12,122370,1545,0.054,0
16,3,0.41,0.59,0.3,0.24,0.19,0.16,0.11,76804,557,0.077,0
0,0,0.28,0.72,0.58,0.16,0.13,0.09,0.04,2788,2105,0.0,0
5,1,0.65,0.35,0.07,0.17,0.17,0.22,0.37,231100,1336,0.08,0
468,83,0.43,0.57,0.31,0.23,0.15,0.11,0.2,198574,5009,0.023,0
30,3,0.37,0.63,0.32,0.27,0.2,0.14,0.07,77327,540,0.048,0
0,0,0.44,0.56,0.5,0.0,0.0,0.0,0.5,37,71,0.0,0
507,135,0.36,0.64,0.32,0.3,0.18,0.1,0.1,2638,1506,0.0,0
1,0,0.5,0.5,0.13,0.26,0.19,0.29,0.13,10694,1442,0.0,0
3,0,0.48,0.52,0.04,0.42,0.31,0.15,0.08,16744,1709,0.167,0
57,5,0.31,0.69,0.42,0.11,0.43,0.04,0.0,13763,4733,0.014,0
1,0,0.31,0.69,0.4,0.33,0.17,0.07,0.04,2427,1145,0.034,0
4,1,0.44,0.56,0.16,0.43,0.1,0.23,0.09,10132,839,0.011,0
1,0,0.61,0.39,0.12,0.21,0.15,0.15,0.38,1896,1291,0.0,0
523,49,0.58,0.42,0.13,0.2,0.19,0.19,0.3,74416,1064,0.07,0
327,62,0.33,0.67,0.42,0.24,0.14,0.12,0.07,327358,835,0.061,0
16,0,0.48,0.52,0.21,0.2,0.26,0.22,0.12,19173,1406,0.074,0
8,2,0.3,0.7,0.48,0.24,0.16,0.06,0.07,8109,2064,0.064,0
1,0,0.28,0.72,0.49,0.23,0.11,0.15,0.02,618,490,0.0,0
760,300,0.33,0.67,0.3,0.4,0.18,0.05,0.06,44173,2970,0.107,0
1,0,0.29,0.71,0.52,0.18,0.17,0.07,0.06,1638,1290,0.0,0
849,201,0.43,0.57,0.22,0.29,0.27,0.09,0.13,296189,2625,0.115,0
23,2,0.42,0.58,0.24,0.29,0.21,0.14,0.11,22149,2052,0.156,0
3,2,0.45,0.55,0.24,0.23,0.26,0.14,0.13,66601,1256,0.125,0
57,12,0.26,0.74,0.54,0.23,0.07,0.14,0.02,8621,2658,0.0,0
22,2,0.5,0.5,0.13,0.2,0.35,0.21,0.12,988,675,0.0,0
1045,304,0.37,0.63,0.42,0.16,0.18,0.17,0.08,2011,1230,0.024,0
1,0,0.61,0.39,0.04,0.11,0.14,0.67,0.04,24307,3802,0.077,0
3,1,0.4,0.6,0.25,0.27,0.24,0.18,0.07,1958,1220,0.022,0
36,9,0.41,0.59,0.34,0.2,0.19,0.16,0.12,133999,4348,0.044,1
1,0,0.28,0.72,0.49,0.21,0.23,0.02,0.05,786,735,0.0,0
39,4,0.37,0.63,0.31,0.28,0.22,0.11,0.08,72819,1815,0.073,0
1,0,0.38,0.62,0.31,0.25,0.11,0.25,0.07,7742,5055,0.066,0
10,2,0.38,0.62,0.34,0.25,0.19,0.11,0.1,4360,2551,0.021,0
218,19,0.42,0.58,0.3,0.15,0.29,0.14,0.12,1557,1007,0.017,1
0,0,0.39,0.61,0.44,0.22,0.0,0.22,0.11,7634,763,0.111,0
582,206,0.29,0.71,0.37,0.32,0.22,0.08,0.01,23384,907,0.078,0
616,70,0.38,0.62,0.35,0.21,0.24,0.13,0.08,133151,4165,0.034,0
1,0,0.45,0.55,0.17,0.4,0.11,0.03,0.29,11026,832,0.07,0
4,0,0.5,0.5,0.25,0.17,0.19,0.13,0.25,5679,1507,0.034,0
4,1,0.25,0.75,0.45,0.4,0.09,0.05,0.01,10354,771,0.022,0
4,1,0.33,0.67,0.37,0.35,0.1,0.08,0.11,26987,5698,0.092,0
2257,1141,0.43,0.57,0.29,0.23,0.2,0.12,0.16,3414,1696,0.011,0
96,98,0.47,0.53,0.16,0.27,0.28,0.16,0.12,10853,1282,0.059,0
59,15,0.36,0.64,0.32,0.28,0.26,0.09,0.06,3249,1552,0.032,1
33,3,0.43,0.57,0.28,0.17,0.28,0.15,0.12,249641,513,0.111,0
12,5,0.43,0.57,0.25,0.22,0.25,0.19,0.09,17830,1484,0.012,0
0,0,0.41,0.59,0.32,0.24,0.18,0.1,0.16,11051,2876,0.052,0
603,218,0.32,0.68,0.4,0.26,0.2,0.1,0.03,39464,2056,0.084,0
1,0,0.34,0.66,0.34,0.31,0.22,0.07,0.06,2053,1801,0.011,0
12,3,0.53,0.47,0.21,0.15,0.21,0.19,0.23,21749,1011,0.077,0
